city,longitude,latitude,code
聊城,115.986869,36.455829,121700
临沂,118.340768,35.072409,120800
青岛,120.384428,36.105215,120300
日照,119.50718,35.420225,121200
泰安,117.089415,36.188078,121100
威海,122.093958,37.528787,120600
潍坊,119.142634,36.716115,120500
烟台,121.309555,37.536562,120400
枣庄,117.279305,34.807883,121600
淄博,118.059134,36.804685,120700
太原,112.550864,37.890277,210200
长治,113.120292,36.201664,210600
大同,113.290509,40.113744,210400
晋城,112.867333,35.499834,210700
晋中,112.738514,37.693362,211000
临汾,111.538788,36.099745,210500
吕梁,111.143157,37.527316,211200
朔州,112.479928,39.337672,210900
忻州,112.727939,38.461031,211100
阳泉,113.569238,37.869529,210800
运城,111.006854,35.038859,210300
西安,108.953098,34.2778,200200
安康,109.038045,32.70437,201000
宝鸡,107.170645,34.364081,200400
汉中,107.045478,33.081569,200900
商洛,109.934208,33.873907,201100
铜川,108.968067,34.908368,200500
渭南,109.483933,34.502358,200700
咸阳,108.707509,34.345373,200300
延安,109.50051,36.60332,200600
榆林,109.745926,38.279439,200800
成都,104.067923,30.679943,090200
阿坝,102.228565,31.905763,092200
巴中,106.757916,31.869189,092000
达州,107.494973,31.214199,091700
德阳,104.402398,31.13114,090600
甘孜,101.969232,30.055144,092100
广安,106.63572,30.463984,091300
广元,105.819687,32.44104,091600
乐山,103.760824,29.600958,090400
凉山,102.259591,27.892393,092300
泸州,105.44397,28.89593,090500
南充,106.105554,30.800965,091100
眉山,103.84143,30.061115,091200
绵阳,104.705519,31.504701,090300
内江,105.073056,29.599462,090900
攀枝花,101.722423,26.587571,091000
遂宁,105.564888,30.557491,091500
雅安,103.009356,29.999716,091800
宜宾,104.633019,28.769675,090700
资阳,104.63593,30.132191,091400
自贡,104.776071,29.359157,090800
拉萨,91.111891,29.662557,300200
阿里,81.107669,30.404557,300800
昌都,97.185582,31.140576,300600
林芝,94.349985,29.666941,300400
那曲,92.067018,31.48068,300700
日喀则,88.891486,29.269023,300300
山南,91.750644,29.229027,300500
乌鲁木齐,87.564988,43.84038,310200
阿拉尔,81.291737,40.61568,310900
阿克苏,80.269846,41.171731,310600
阿勒泰,88.137915,47.839744,311300
巴音郭楞,86.121688,41.771362,311800
博尔塔拉,82.052436,44.913651,311900
昌吉,87.296038,44.007058,311200
哈密,93.528355,42.858596,310700
和田,79.930239,37.116774,311600
喀什地区,75.992973,39.470627,310400
克拉玛依,84.88118,45.594331,310300
克孜勒苏柯尔克孜,76.137564,39.750346,311700
石河子,86.041865,44.308259,310800
塔城,82.974881,46.758684,311500
图木舒克,79.198155,39.889223,311100
吐鲁番,89.181595,42.96047,311400
五家渠,87.565449,44.368899,311000
伊犁,81.297854,43.922248,310500
昆明,102.714601,25.049153,250200
保山,99.177996,25.120489,251200
楚雄,101.529382,25.066356,251700
大理,100.223675,25.5969,250500
德宏,98.589434,24.44124,251600
迪庆,99.713682,27.831029,252000
